A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A505,MARSING HIGH SCHOOL PO BOX 340 MARSING,B385,Marsing Primary School Highway 78 Marsing,0.7981817
A765,THREE CREEK ELEM/JR HIGH SCHOOL 49909 THREE CREEK ROAD ROGERSON,B651,Terreton Elem-Jr High School 1252 E 1500 N Terreton,0.79781765
A447,REED ELEMENTARY SCHOOL 1670 NORTH LINDER ROAD KUNA,B335,Kuna High School 637 East Deer Flat Road Kuna,0.79725355
A93,GEM PREP: POCATELLO SCHOOL PO BOX 86 DEARY,B210,Gem Prep' Pocatello 4145 Yellowstone Ave Chubbuck,0.7969165
A21,INSIGHT SCHOOL OF IDAHO 1965 SOUTH EAGLE ROAD SUITE 190 MERIDIAN,B289,Idaho Preparatory Academy 3295 W Elder St Boise,0.7946609
A449,ROSS ELEMENTARY SCHOOL 610 NORTH SCHOOL AVENUE KUNA,B335,Kuna High School 637 East Deer Flat Road Kuna,0.79236865
A85,BINGHAM ACADEMY 1350 PARKWAY DRIVE #18 BLACKFOOT,B42,Blackfoot Charter Community Learning Center 92 North 415 West Blackfoot,0.7920959
A34,EMPOWER CONNECTIONS ACADEMY 9550 BETHEL COURT BOISE,B289,Idaho Preparatory Academy 3295 W Elder St Boise,0.79074436
A819,Shoshone-Bannock School PO Box 790 FORT HALL,B585,Sho-Ban Tribal School Po Box 790 Fort Hall,0.7866005
A8,KOOTENAI ELEMENTARY SCHOOL GENERAL DELIVERY KOOTENAI,B332,Kootenai Elementary School 301 Sprague St Kootenai,0.7858406
A26,ROLLING HILLS PUBLIC CHARTER 8900 HORSESHOE BEND ROAD BOISE,B582,Shadow Hills Elementary School 8301 W Sloan St Boise,0.78538865
A594,PRESCHOOL CENTER 310 10TH STREET RUPERT,B562,Rupert Elementary School 202 18th St Rupert,0.7851758
A335,OLA ELEMENTARY SCHOOL PO BOX 29 OLA,B467,Ola School Ola School Rd Ola,0.78297126
A802,HAROLD B LEE ELEMENTARY SCHOOL PO BOX 140 DAYTON,B238,Harold B. Lee Elementary School 4726 W. Hwy 36 Weston,0.77906215
A753,KERSHAW INTERMEDIATE SCHOOL 610 EAST 3RD NORTH STREET SUGAR CITY,B630,Sugar-Salem High School 1 S Digger Dr Sugar City,0.7787635
A662,IDAHO YOUTH CHALLENGE ACADEMY FALL PO BOX 2259 OROFINO,B287,Idaho National Guard Youth Challenge Academy 117 Timberline Drive Pierce,0.7764039
A362,GARDEN VALLEY SCHOOL PO BOX 710 GARDEN VALLEY,B198,Garden Valley Jr-Sr High Sch 1053 Banks Lowman Rd Garden Valley,0.77583015
A267,CLAYTON ELEMENTARY SCHOOL HC 67 BOX 586 CLAYTON,B274,Horizon Elementary School 934 10th Ave E Jerome,0.77548885
A586,MINI-CASSIA JUVENILE DETENTION CENTER 633 FREMONT RUPERT,B317,Juvenile Detention Center 210 E Dalton Avenue Coeur D'Alene,0.7743552
A640,NAMPA ONLINE VIRTUAL ACADEMY 3313 PARKRIDGE DRIVE NAMPA,B671,Treasure Valley Leadership Academy 609 15th Ave N Nampa,0.77398527
A450,CRIMSON POINT ELEMENTARY SCHOOL 1941 NORTH SHAYLA AVENUE KUNA,B596,Skyway Elementary School 19430 Ward Ln Caldwell,0.7729764
A755,VALLEY VIEW ALTERNATIVE HIGH SCHOOL PO BOX 150 SUGAR CITY,B686,Valley View Elementary School 6750 Augusta St Bonners Ferry,0.772902
A281,SORENSEN MAGNET SCHOOL OF THE ARTS AND HUMANITIES 311 NORTH 9TH STREET COEUR D'ALENE,B692,Venture Academy 1619 N. 9th Street Coeur D Alene,0.77218276
A33,INSPIRE VIRTUAL CHARTER SCHOOL 9550 BETHEL COURT BOISE,B492,Peace Valley Charter School 1845 S Federal Way Boise,0.7701575
A40,JCC - NAMPA 1650 11TH AVENUE NORTH NAMPA,B560,Ronald Reagan Elementary 3400 Southside Blvd Nampa,0.7695092
A69,CALDER SCHOOL PO BOX 7 AVERY,B65,Calder Elementary School 1 River Road Calder,0.7667321
A9,SANDPOINT JUVENILE DETENTION 4105 NORTH BOYER AVENUE SANDPOINT,B316,Juvenile Corrections Center St. Anthony 2220 E. 600 N. St. Anthony,0.76597977
A290,COEUR D'ALENE EARLY CHILDHOOD LERNING CENTER 632 BORAH AVENUE COEUR D'ALENE,B358,Lincoln Early Learning Center 300 W Fort St Boise,0.7647059
A725,SHELLEY WORK BASED ACADEMY 544 SEMINARY AVENUE SHELLEY,B583,Shelley High School 570 W Fir St Shelley,0.7611763
A663,IDAHO YOUTH CHALLENGE ACADEMY SPRING PO BOX 2259 OROFINO,B287,Idaho National Guard Youth Challenge Academy 117 Timberline Drive Pierce,0.7609248
A483,A Neil DeAtley Career Technical Education Center 3317 12TH STREET LEWISTON,B77,Career Technical Education Center 915 S Main St Payette,0.75994056
A84,KTEC School 6838 WEST LANCASTER ROAD RATHDRUM,B426,Mountain View Alternative School 7802 Main St Rathdrum,0.759877
A315,RIMROCK ELEMENTARY 4855 BRENNAN BEND AMMON,B542,Rimrock Elementary School 4855 Brennan Bnd Ammon,0.75935984
A191,TREASURE VALLEY MATH/SCIENCE 6801 NORTH GARY LANE BOISE,B128,Desert Sage Elementary 9325 W. Mossywood Drive Boise,0.7580784
A213,WAKAPA ACADEMY 525 SAWTOOTH AVENUE BUHL,B698,Wapello Elementary School 195 E 350 N Blackfoot,0.7545334
A88,GEM PREP: ONLINE SCHOOL 2750 EAST GALA STREET MERIDIAN,B205,Gem Prep Meridian N 5390 N Mcdermott Rd. Meridian,0.75269234
A87,IDAHO TECHNICAL CAREER ACADEMY 1965 SOUTH EAGLE ROAD SUITE 150 MERIDIAN,B647,Technical Careers High School82 3609 E Iona Road Idaho Falls,0.75234973
A672,POCATELLO JUVENILE DETENTION PO BOX 4926 POCATELLO,B317,Juvenile Detention Center 210 E Dalton Avenue Coeur D'Alene,0.75118285
A751,CENTRAL ELEMENTARY SCHOOL PO BOX 239 SUGAR CITY,B682,Up-River Elementary School Po Box 249 Fernwood,0.75116897
A66,IDAHO CONNECTS ONLINE SCHOOL 1ST 6TH STREET NORTH NAMPA,B281,Idaho Arts Charter School 1220 5th Street N. Nampa,0.74919164
A497,MADISON EARLY CHILDHOOD CENTER 2413 NORTH 3000 WEST REXBURG,B376,Madison Middle School 575 W 700 S Rexburg,0.7414571
A32,DEARY SCHOOL PO BOX 9 DEARY,B123,Deary Elementary-High School 502 1st Street Deary,0.73736894
A268,PATTERSON ELEMENTARY SCHOOL PO BOX 304 CHALLIS,B255,Highland Elementary School 112 Boulevard Ave Craigmont,0.73603714
A719,SALMON JUVENILE DETENTION CENTER 206 COURTHOUSE DRIVE SALMON,B570,Salmon Elementary School 300 Main St Salmon,0.7331673
A621,NAMPA EARLY CHILDHOOD CENTER 1701 DISCOVERY PLACE NAMPA,B439,Nampa Christian Schools Inc. 439 W Orchard Avenue Nampa,0.73176944
A512,MEADOWS VALLEY SCHOOL PO BOX DRAWER F NEW MEADOWS,B682,Up-River Elementary School Po Box 249 Fernwood,0.7303006
A269,STANLEY ELEM/JR HIGH SCHOOL PO BOX 77 STANLEY,B621,"Stanley Elementary-Jr. High School 425 School Road, Stanley Custer",0.72763467
A41,JCC - LEWISTON 140 SOUTHPORT AVENUE LEWISTON,B314,Juvenile Corrections Center Lewiston 140 Southport Ave Lewiston,0.72287333
A632,IDAHO CENTER OF ADVANCED TECHNOLOGY 1303 EAST GREENHURST NAMPA,B127,Dehryl A. Dennis Professional-Technical Education Center 8201 West Victory Road Boise,0.7186263
A806,WILDER ACADEMY OF VIRTUAL EDUCATION 419 HUFF STREET BUILDING #G WILDER,B695,Virtual School House 6075 North Locust Grove Road Meridian,0.71815634
A86,UPPER CARMEN PUBLIC CHARTER SCHOOL PO BOX 33 CARMEN,B73,Canyon Elementary School 27405 E Schoolhouse Loop Rd Cataldo,0.71586275
A39,JCC - ST ANTHONY 2220 EAST 600 NORTH ST ANTHONY,B614,St Maries Community Ed Alternative 240 S 11th Street St Maries,0.71457577
A511,HEARTLAND HIGH SCHOOL PO BOX 1226 MCCALL,B389,Mccall-Donnelly High School 401 North Mission Street Mccall,0.7142757
A698,FREDERICK POST KINDER CENTER PO BOX 40 POST FALLS,B513,Post Falls Kinder Center 205 W Mullan Ave Post Falls,0.7125113
A553,MERIDIAN MEDICAL ARTS CHARTER 1789 EAST HERITAGE PARK LANE MERIDIAN,B400,Meridian Medical Arts Charter High School 1789 E Heritage Park Ln Meridian,0.70941865
A100,PATHWAYS IN EDUCATION: NAMPA 124 HOLLY STREET NAMPA,B439,Nampa Christian Schools Inc. 439 W Orchard Avenue Nampa,0.70675635
A814,PATHWAYS IN EDUCATION - WEST ADA 5915 WEST ALGONA DRIVE MERIDIAN,B629,Student Transition Education Program 1325 S Vista Ave Boise,0.705041
A291,COEUR D'ALENE VIRTUAL ACADMEY 1400NORTH NORTHWOOD CENTER COURT COEUR D'ALENE,B692,Venture Academy 1619 N. 9th Street Coeur D Alene,0.7045323
A737,SNAKE RIVER ONLINE 103 SOUTH 900 WEST BLACKFOOT,B598,Snake River High School 922 W Highway 39 Blackfoot,0.6907604
A99,PROJECT IMPACT STEM ACADEMY 1577 N LINDER ROAD MB 162 KUNA,B165,Endeavor Elementary School 2824 E Vicotry Road Nampa,0.6863437
A120,GEM PREP: NAMPA PO BOX 86 DEARY,B205,Gem Prep Meridian N 5390 N Mcdermott Rd. Meridian,0.68339384
A141,CAREY PUBLIC SCHOOL PO BOX 266 CAREY,B78,Carey School Panther Lane Carey,0.6761151
A417,RIGBY VIRTUAL ACADEMY 3850 EAST 300 NORTH RIGBY,B671,Treasure Valley Leadership Academy 609 15th Ave N Nampa,0.67280126
A313,SPECIAL SERVICES CENTER 3549 NORTH AMMON ROAD IDAHO FALLS,B1,3-B Juvenile Detention 605 N Capital Ave Idaho Falls,0.6677488
A604,PINE ELEM/JR HIGH SCHOOL HC 87 BOX 190 PINE,B615,St Maries High School Hc 3 Box 33b Saint Maries,0.6649796
A263,MINI-CASSIA ONLINE LEARNING ACADEMY 3650 OVERLAND AVENUE BURLEY,B217,Gooding Alternative Learning Center (Galc) 1050 7th Ave W Gooding,0.6605619
A613,TIGER LEARN PROGRAM 1600 EAST 6TH STREET MOUNTAIN HOME,B663,Tigert Middle School 250 E 2nd S Soda Springs,0.64904714
A576,FLYERS CENTER 12081 WEST DEMEYER STREET BOISE,B504,Pioneer School Of The Arts 13255 W Mcmillan Rd Boise,0.6266284
A730,HIGH DESERT 61 EAST US HIGHWAY 24 SHOSHONE,B587,Shoshone Elementary School 61 E. Highway 24 Shoshone,0.61890954
A547,ADA PROFESSIONAL-TECHNICAL CENTER 1900 WEST PINE MERIDIAN,B127,Dehryl A. Dennis Professional-Technical Education Center 8201 West Victory Road Boise,0.6163204
A756,SUGAR-SALEM ONLINE PO BOX 150 SUGAR CITY,B630,Sugar-Salem High School 1 S Digger Dr Sugar City,0.60768086
A127,BEAR LAKE ON-LINE LEARNING PO BOX 300 PARIS,B32,Bear Lake Middle School 633 Washington St Montpelier,0.560936
A470,NEZ PERCE TRIBE HEAD START PO BOX 365 LAPWAI,B448,Nez Perce Elementary School 615 2nd Avenue Nezperce,0.54006624
